#################################################################################
#
#
#
#
#
#
#
#################################################################################
0-9	(.*)(いいんだ|いいじゃん)		&<返答曖昧>～<1>っていわれても～|&<返答肯定>、<1>だね！？|&<返答否定>、<1>じゃない！	5
#
#
0-9	(どこ|何処|何所|どっか)			<1>！？&<場所>だよ～|<1>って言われても～&<場所>かな～？|<1>ね～&<場所>がいいな～		5
0-9	(だれ|誰)						%<myname>だよーー|&<返答曖昧>？&<家族>かなあ～|&<彼>と～&<彼女>とね～、あと忘れた。		5
#
0-9	(何|なに|何故|なぜ|なあに|どうして|なんで)	<1>っていわれても～&<返答曖昧>なんですけど～								5
0-9	(何|なに|何故|なぜ|なあに|どうして|なんで)	&<不明>！！（わ・・わかってない）											5
0-9	(何|なに|何故|なぜ|なあに|どうして|なんで)	直感です！（ウッ！ハッ！ハッ！）											5
0-9	(何|なに|何故|なぜ|なあに|どうして|なんで)	&<反応>！&<叫び>！わからない・・（す・・すいません）						5
0-9	(何|なに|何故|なぜ|なあに|どうして|なんで)	<1>？%<myname>は知らないよ～&<他人称>が知ってるかも？						5
#
0-9	(機嫌|きげん).*(悪|わる|あく)				やっぱり、&<面白>～がいいよねー|はーい、&<お礼>								7
0-9	(機嫌|きげん).*(悪|わる|あく)				&<お礼>、がんばりまーす。|&<お侘３>、がんばるよ～							7
0-9	(機嫌|きげん).*(直|なお|良|よく|よい|いい)	は～い、&<お礼>|&<お礼>、がんばりまーす。|&<お侘３>、がんばるよ～			7
#
